1   0.031118	0.031243    0.0311954	0.03125
2   0.06093 0.0615173	0.0614172   0.061523438
3   0.117298	0.119045    0.118994	0.119261742
4   0.215064	0.222591    0.223458	0.22430012
5   0.36723 0.391346	0.39577	0.398289697
6   0.559577	0.618867    0.632146	0.637944711
7   0.740865	0.837977    0.860638	0.868915968
8   0.861404	0.961793    0.978157	0.982816976
9   0.919778	0.995553    0.999249	0.999704744
10  0.943771	0.999698    0.999997	0.999999913
11  0.952916	0.99999	1   1
12  0.963116	1   1	1
13  0.981106	1   1	1
14  0.991243	1   1	1
15  0.993277	1   1	1
16  0.998958	1   1	1
17  0.999391	1   1	1
18  0.999599	1   1	1
19  1	1   1	1
20  1	1   1	1

